,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
200,All individuals,AT,45,51,57,64,65,74,74
201,All individuals,BA,NA,NA,NA,NA,NA,NA,60
202,All individuals,BE,44,47,59,69,71,75,76
203,All individuals,BG,13,20,27,38,45,56,57
204,All individuals,CH,NA,NA,60,NA,NA,69,NA
205,All individuals,CY,25,29,43,59,62,70,75
206,All individuals,CZ,NA,29,37,45,NA,60,66
207,All individuals,DE,31,44,56,63,68,75,80
208,All individuals,DK,61,66,75,78,82,83,88
209,All individuals,EA,34,42,51,56,59,65,69
210,All individuals,EE,37,46,58,61,62,68,71
211,All individuals,EL,23,27,37,44,47,53,55
212,All individuals,ES,38,50,62,67,72,78,80
213,All individuals,EU27,36,43,51,57,59,66,69
214,All individuals,EU28,36,43,51,57,59,65,69
215,All individuals,FI,56,61,69,73,76,79,78
216,All individuals,FR,43,51,58,61,61,68,74
217,All individuals,HR,38,40,41,50,52,51,63
218,All individuals,HU,18,29,43,52,58,62,63
219,All individuals,IE,51,59,65,69,69,75,73
220,All individuals,IS,60,61,68,NA,NA,84,83
221,All individuals,IT,16,19,24,26,29,32,40
222,All individuals,LT,17,25,32,38,45,55,62
223,All individuals,LU,63,66,70,80,78,82,84
224,All individuals,LV,25,32,35,44,48,57,59
225,All individuals,ME,34,NA,NA,NA,NA,70,70
226,All individuals,MK,17,27,40,52,57,65,61
227,All individuals,MT,40,43,52,64,64,72,70
228,All individuals,NL,55,65,70,76,78,87,86
229,All individuals,NO,75,79,79,83,80,87,89
230,All individuals,PL,22,30,36,44,32,40,49
231,All individuals,PT,21,24,37,45,51,58,60
232,All individuals,RO,7 ,15,25,38,44,53,58
233,All individuals,RS,NA,NA,NA,35,NA,53,57
234,All individuals,SE,70,71,76,77,80,87,88
235,All individuals,SI,30,39,42,51,54,63,67
236,All individuals,SK,38,42,50,54,58,64,62
237,All individuals,TR,14,21,32,40,53,62,64
238,All individuals,UK,63,66,73,79,81,84,83
239,All individuals,XK,NA,NA,NA,NA,NA,75,76
