,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
40,"Females, 16 TO 74 years old",AT,39,44,51,59,60,71,72
41,"Females, 16 TO 74 years old",BA,NA,NA,NA,NA,NA,NA,56
42,"Females, 16 TO 74 years old",BE,40,42,56,67,68,74,75
43,"Females, 16 TO 74 years old",BG,11,18,25,37,43,54,55
44,"Females, 16 TO 74 years old",CH,NA,NA,55,NA,NA,66,NA
45,"Females, 16 TO 74 years old",CY,21,26,41,57,62,70,73
46,"Females, 16 TO 74 years old",CZ,NA,23,31,40,NA,56,65
47,"Females, 16 TO 74 years old",DE,25,39,51,60,65,73,79
48,"Females, 16 TO 74 years old",DK,58,63,74,77,82,83,88
49,"Females, 16 TO 74 years old",EA,29,38,48,53,57,64,68
50,"Females, 16 TO 74 years old",EE,33,42,55,57,60,66,68
51,"Females, 16 TO 74 years old",EL,18,24,34,41,45,50,52
52,"Females, 16 TO 74 years old",ES,34,47,60,66,70,77,80
53,"Females, 16 TO 74 years old",EU27,31,39,48,55,57,63,68
54,"Females, 16 TO 74 years old",EU28,31,39,48,55,57,63,68
55,"Females, 16 TO 74 years old",FI,51,56,64,72,74,78,78
56,"Females, 16 TO 74 years old",FR,39,47,56,59,60,67,72
57,"Females, 16 TO 74 years old",HR,29,33,39,45,48,44,60
58,"Females, 16 TO 74 years old",HU,14,26,40,49,55,61,61
59,"Females, 16 TO 74 years old",IE,49,58,65,70,69,76,73
60,"Females, 16 TO 74 years old",IS,56,60,69,NA,NA,84,85
61,"Females, 16 TO 74 years old",IT,12,16,21,23,27,30,38
62,"Females, 16 TO 74 years old",LT,14,21,29,37,42,54,61
63,"Females, 16 TO 74 years old",LU,56,63,68,75,76,80,81
64,"Females, 16 TO 74 years old",LV,22,28,32,41,46,55,58
65,"Females, 16 TO 74 years old",ME,28,NA,NA,NA,NA,65,69
66,"Females, 16 TO 74 years old",MK,16,23,36,50,53,62,57
67,"Females, 16 TO 74 years old",MT,37,42,51,63,62,71,70
68,"Females, 16 TO 74 years old",NL,50,60,68,75,77,86,85
69,"Females, 16 TO 74 years old",NO,71,76,76,82,79,86,88
70,"Females, 16 TO 74 years old",PL,19,27,34,42,31,38,47
71,"Females, 16 TO 74 years old",PT,17,20,32,41,49,56,58
72,"Females, 16 TO 74 years old",RO,6 ,14,22,34,41,50,56
73,"Females, 16 TO 74 years old",RS,NA,NA,NA,29,NA,49,54
74,"Females, 16 TO 74 years old",SE,66,68,76,76,78,85,90
75,"Females, 16 TO 74 years old",SI,26,36,42,48,52,62,66
76,"Females, 16 TO 74 years old",SK,33,37,46,51,57,62,59
77,"Females, 16 TO 74 years old",TR,10,16,25,32,44,54,58
78,"Females, 16 TO 74 years old",UK,60,64,72,78,83,84,83
79,"Females, 16 TO 74 years old",XK,NA,NA,NA,NA,NA,73,76
