,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
240,"Males, 16 TO 74 years old",AT,51,57,63,69,69,77,76
241,"Males, 16 TO 74 years old",BA,NA,NA,NA,NA,NA,NA,66
242,"Males, 16 TO 74 years old",BE,48,53,62,70,73,76,78
243,"Males, 16 TO 74 years old",BG,14,22,30,40,46,58,59
244,"Males, 16 TO 74 years old",CH,NA,NA,65,NA,NA,72,NA
245,"Males, 16 TO 74 years old",CY,28,32,46,61,63,70,76
246,"Males, 16 TO 74 years old",CZ,NA,34,43,49,NA,63,68
247,"Males, 16 TO 74 years old",DE,37,49,60,66,70,77,81
248,"Males, 16 TO 74 years old",DK,65,68,76,79,82,84,88
249,"Males, 16 TO 74 years old",EA,39,46,54,58,61,67,71
250,"Males, 16 TO 74 years old",EE,41,51,61,66,64,70,73
251,"Males, 16 TO 74 years old",EL,27,29,40,48,50,56,58
252,"Males, 16 TO 74 years old",ES,43,53,64,68,74,79,81
253,"Males, 16 TO 74 years old",EU27,40,46,55,60,62,68,71
254,"Males, 16 TO 74 years old",EU28,40,46,54,60,61,67,71
255,"Males, 16 TO 74 years old",FI,62,66,74,74,77,80,79
256,"Males, 16 TO 74 years old",FR,48,56,61,64,61,70,75
257,"Males, 16 TO 74 years old",HR,47,48,42,55,55,59,65
258,"Males, 16 TO 74 years old",HU,21,32,48,56,61,64,64
259,"Males, 16 TO 74 years old",IE,53,60,65,69,68,73,73
260,"Males, 16 TO 74 years old",IS,63,62,67,NA,NA,85,82
261,"Males, 16 TO 74 years old",IT,20,21,26,29,31,34,42
262,"Males, 16 TO 74 years old",LT,21,29,36,39,48,56,63
263,"Males, 16 TO 74 years old",LU,69,70,73,84,80,84,87
264,"Males, 16 TO 74 years old",LV,30,37,39,46,51,59,60
265,"Males, 16 TO 74 years old",ME,38,NA,NA,NA,NA,73,70
266,"Males, 16 TO 74 years old",MK,18,30,45,55,61,68,64
267,"Males, 16 TO 74 years old",MT,44,45,52,64,65,72,70
268,"Males, 16 TO 74 years old",NL,60,70,72,76,79,88,87
269,"Males, 16 TO 74 years old",NO,80,81,82,84,81,87,90
270,"Males, 16 TO 74 years old",PL,25,34,38,46,34,42,50
271,"Males, 16 TO 74 years old",PT,25,28,42,51,53,60,63
272,"Males, 16 TO 74 years old",RO,9 ,17,28,41,48,55,59
273,"Males, 16 TO 74 years old",RS,NA,NA,NA,41,NA,57,61
274,"Males, 16 TO 74 years old",SE,74,73,77,77,81,88,86
275,"Males, 16 TO 74 years old",SI,34,42,43,54,57,65,69
276,"Males, 16 TO 74 years old",SK,43,46,55,58,60,67,64
277,"Males, 16 TO 74 years old",TR,17,26,39,48,61,70,71
278,"Males, 16 TO 74 years old",UK,67,69,74,81,81,84,83
279,"Males, 16 TO 74 years old",XK,NA,NA,NA,NA,NA,76,76
