,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
400,Unemployed,AT,46,58,53,67,69,67,68
401,Unemployed,BA,NA,NA,NA,NA,NA,NA,61
402,Unemployed,BE,33,40,50,60,59,69,76
403,Unemployed,BG,5 ,11,16,22,28,40,37
404,Unemployed,CH,NA,NA,73,NA,NA,67,NA
405,Unemployed,CY,27,31,43,59,58,77,75
406,Unemployed,CZ,NA,16,34,33,NA,49,59
407,Unemployed,DE,18,33,37,51,52,59,66
408,Unemployed,DK,54,62,76,73,92,84,89
409,Unemployed,EA,28,37,47,52,54,59,65
410,Unemployed,EE,34,44,55,55,60,67,72
411,Unemployed,EL,24,23,36,48,55,56,63
412,Unemployed,ES,33,47,60,65,69,77,81
413,Unemployed,EU27,28,37,46,52,53,59,64
414,Unemployed,EU28,28,37,46,52,53,59,64
415,Unemployed,FI,50,54,66,69,75,83,75
416,Unemployed,FR,45,52,60,63,60,68,76
417,Unemployed,HR,36,32,34,44,53,50,52
418,Unemployed,HU,10,20,32,44,47,46,47
419,Unemployed,IE,45,52,58,65,62,72,79
420,Unemployed,IS,60,58,54,NA,NA,NA,NA
421,Unemployed,IT,14,22,30,35,38,36,43
422,Unemployed,LT,10,17,21,25,32,37,45
423,Unemployed,LU,60,64,73,63,76,91,92
424,Unemployed,LV,16,22,27,34,43,49,52
425,Unemployed,ME,26,NA,NA,NA,NA,69,75
426,Unemployed,MK,12,22,31,49,48,63,60
427,Unemployed,MT,33,37,38,53,60,NA,NA
428,Unemployed,NL,64,69,69,75,80,90,86
429,Unemployed,NO,72,78,76,77,75,72,82
430,Unemployed,PL,13,24,28,35,27,29,38
431,Unemployed,PT,18,20,33,37,46,51,53
432,Unemployed,RO,4 ,10,27,44,53,67,62
433,Unemployed,RS,NA,NA,NA,29,NA,48,62
434,Unemployed,SE,69,58,67,87,70,92,89
435,Unemployed,SI,30,33,44,52,46,55,71
436,Unemployed,SK,24,33,43,51,36,53,47
437,Unemployed,TR,15,27,39,49,67,73,79
438,Unemployed,UK,58,62,71,79,76,83,81
439,Unemployed,XK,NA,NA,NA,NA,NA,76,76
