,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
320,"Employees, self-employed, familly workers",AT,53,60,67,74,74,84,83
321,"Employees, self-employed, familly workers",BA,NA,NA,NA,NA,NA,NA,82
322,"Employees, self-employed, familly workers",BE,51,54,69,79,82,85,87
323,"Employees, self-employed, familly workers",BG,18,27,36,50,59,74,74
324,"Employees, self-employed, familly workers",CH,NA,NA,67,NA,NA,76,NA
325,"Employees, self-employed, familly workers",CY,26,31,48,66,72,78,84
326,"Employees, self-employed, familly workers",CZ,NA,33,43,52,NA,70,77
327,"Employees, self-employed, familly workers",DE,38,52,66,73,78,85,88
328,"Employees, self-employed, familly workers",DK,67,73,83,86,88,90,94
329,"Employees, self-employed, familly workers",EA,41,50,61,66,69,76,79
330,"Employees, self-employed, familly workers",EE,43,52,65,69,71,77,80
331,"Employees, self-employed, familly workers",EL,29,35,50,57,59,66,68
332,"Employees, self-employed, familly workers",ES,47,63,76,80,85,90,91
333,"Employees, self-employed, familly workers",EU27,43,51,61,67,69,75,79
334,"Employees, self-employed, familly workers",EU28,43,51,60,67,69,75,79
335,"Employees, self-employed, familly workers",FI,64,69,77,82,85,88,88
336,"Employees, self-employed, familly workers",FR,50,59,68,71,70,80,83
337,"Employees, self-employed, familly workers",HR,46,51,53,66,68,73,81
338,"Employees, self-employed, familly workers",HU,23,37,55,65,71,77,79
339,"Employees, self-employed, familly workers",IE,61,68,74,79,78,84,87
340,"Employees, self-employed, familly workers",IS,61,61,71,NA,NA,87,88
341,"Employees, self-employed, familly workers",IT,21,20,25,25,30,33,43
342,"Employees, self-employed, familly workers",LT,19,29,36,44,54,67,74
343,"Employees, self-employed, familly workers",LU,69,71,75,81,82,86,91
344,"Employees, self-employed, familly workers",LV,31,38,42,52,58,68,70
345,"Employees, self-employed, familly workers",ME,43,NA,NA,NA,NA,87,89
346,"Employees, self-employed, familly workers",MK,22,32,51,64,68,78,73
347,"Employees, self-employed, familly workers",MT,54,56,66,78,79,86,85
348,"Employees, self-employed, familly workers",NL,65,76,80,85,87,93,93
349,"Employees, self-employed, familly workers",NO,80,82,85,90,87,92,93
350,"Employees, self-employed, familly workers",PL,28,38,44,53,35,46,57
351,"Employees, self-employed, familly workers",PT,24,26,44,56,60,69,72
352,"Employees, self-employed, familly workers",RO,9 ,18,29,44,53,62,68
353,"Employees, self-employed, familly workers",RS,NA,NA,NA,58,NA,73,76
354,"Employees, self-employed, familly workers",SE,75,80,83,85,86,94,92
355,"Employees, self-employed, familly workers",SI,35,49,52,66,66,78,81
356,"Employees, self-employed, familly workers",SK,45,48,59,67,69,75,73
357,"Employees, self-employed, familly workers",TR,19,29,44,56,68,76,77
358,"Employees, self-employed, familly workers",UK,71,75,81,88,90,92,91
359,"Employees, self-employed, familly workers",XK,NA,NA,NA,NA,NA,81,81
