,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
80,Individuals with no or low formal education,AT,34,34,33,40,47,52,58
81,Individuals with no or low formal education,BA,NA,NA,NA,NA,NA,NA,36
82,Individuals with no or low formal education,BE,30,34,40,50,55,58,57
83,Individuals with no or low formal education,BG,3 ,5 ,11,15,21,29,33
84,Individuals with no or low formal education,CH,NA,NA,48,NA,NA,52,NA
85,Individuals with no or low formal education,CY,10,15,22,31,36,42,44
86,Individuals with no or low formal education,CZ,NA,27,33,43,NA,50,60
87,Individuals with no or low formal education,DE,27,42,54,60,63,69,76
88,Individuals with no or low formal education,DK,61,64,72,NA,78,77,82
89,Individuals with no or low formal education,EA,21,27,34,39,42,47,53
90,Individuals with no or low formal education,EE,30,39,51,57,56,69,72
91,Individuals with no or low formal education,EL,7 ,10,14,17,20,24,25
92,Individuals with no or low formal education,ES,21,30,40,45,53,59,64
93,Individuals with no or low formal education,EU27,21,27,34,38,42,47,52
94,Individuals with no or low formal education,EU28,21,27,33,38,42,47,52
95,Individuals with no or low formal education,FI,45,55,58,66,64,66,65
96,Individuals with no or low formal education,FR,30,34,39,42,41,49,58
97,Individuals with no or low formal education,HR,18,18,28,20,17,13,30
98,Individuals with no or low formal education,HU,10,18,26,30,36,41,40
99,Individuals with no or low formal education,IE,28,32,40,42,40,47,40
100,Individuals with no or low formal education,IS,53,52,60,NA,NA,76,75
101,Individuals with no or low formal education,IT,7 ,10,14,16,20,21,28
102,Individuals with no or low formal education,LT,16,24,36,37,45,52,56
103,Individuals with no or low formal education,LU,42,44,54,72,70,75,72
104,Individuals with no or low formal education,LV,23,31,34,37,43,50,58
105,Individuals with no or low formal education,ME,11,NA,NA,NA,NA,25,41
106,Individuals with no or low formal education,MK,8 ,13,25,28,38,45,44
107,Individuals with no or low formal education,MT,22,24,30,38,43,56,54
108,Individuals with no or low formal education,NL,41,47,54,61,62,73,73
109,Individuals with no or low formal education,NO,72,73,75,78,80,80,85
110,Individuals with no or low formal education,PL,15,20,28,36,35,42,45
111,Individuals with no or low formal education,PT,11,13,20,27,31,37,38
112,Individuals with no or low formal education,RO,3 ,7 ,12,20,23,29,37
113,Individuals with no or low formal education,RS,NA,NA,NA,11,NA,27,33
114,Individuals with no or low formal education,SE,62,57,66,61,63,76,79
115,Individuals with no or low formal education,SI,16,21,19,32,37,44,46
116,Individuals with no or low formal education,SK,35,35,50,51,43,51,51
117,Individuals with no or low formal education,TR,6 ,11,18,24,36,46,50
118,Individuals with no or low formal education,UK,29,33,41,45,54,56,49
119,Individuals with no or low formal education,XK,NA,NA,NA,NA,NA,63,60
