,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
280,Retired and other inactive,AT,16,19,23,27,32,43,46
281,Retired and other inactive,BA,NA,NA,NA,NA,NA,NA,31
282,Retired and other inactive,BE,20,23,32,42,44,50,50
283,Retired and other inactive,BG,1 ,3 ,4 ,9 ,11,19,21
284,Retired and other inactive,CH,NA,NA,25,NA,NA,43,NA
285,Retired and other inactive,CY,7 ,10,15,29,29,35,40
286,Retired and other inactive,CZ,NA,7 ,11,15,NA,24,29
287,Retired and other inactive,DE,10,17,25,31,36,46,54
288,Retired and other inactive,DK,36,37,47,55,59,61,75
289,Retired and other inactive,EA,11,16,22,26,30,37,43
290,Retired and other inactive,EE,13,21,27,27,27,31,35
291,Retired and other inactive,EL,3 ,6 ,11,15,16,21,23
292,Retired and other inactive,ES,9 ,15,24,28,36,45,51
293,Retired and other inactive,EU27,13,17,23,28,30,37,43
294,Retired and other inactive,EU28,13,16,22,28,30,36,42
295,Retired and other inactive,FI,26,32,39,43,46,49,51
296,Retired and other inactive,FR,18,25,30,32,33,39,49
297,Retired and other inactive,HR,7 ,9 ,10,13,14,16,26
298,Retired and other inactive,HU,4 ,9 ,17,21,27,30,30
299,Retired and other inactive,IE,27,34,40,44,44,49,43
300,Retired and other inactive,IS,NA,37,39,NA,NA,61,58
301,Retired and other inactive,IT,3 ,3 ,5 ,7 ,9 ,12,19
302,Retired and other inactive,LT,2 ,3 ,6 ,8 ,13,18,26
303,Retired and other inactive,LU,36,46,45,58,59,61,65
304,Retired and other inactive,LV,5 ,8 ,8 ,12,13,20,19
305,Retired and other inactive,ME,9 ,NA,NA,NA,NA,29,22
306,Retired and other inactive,MK,2 ,3 ,9 ,19,25,31,29
307,Retired and other inactive,MT,13,14,22,33,33,40,36
308,Retired and other inactive,NL,26,33,43,49,55,66,66
309,Retired and other inactive,NO,44,55,43,57,49,63,69
310,Retired and other inactive,PL,4 ,9 ,11,16,9 ,13,19
311,Retired and other inactive,PT,3 ,4 ,7 ,12,15,17,20
312,Retired and other inactive,RO,1 ,3 ,7 ,12,15,23,28
313,Retired and other inactive,RS,NA,NA,NA,6 ,NA,21,27
314,Retired and other inactive,SE,33,33,43,44,58,60,NA
315,Retired and other inactive,SI,3 ,7 ,12,11,23,23,25
316,Retired and other inactive,SK,8 ,10,14,16,25,31,24
317,Retired and other inactive,TR,4 ,7 ,13,17,29,39,44
318,Retired and other inactive,UK,35,36,46,55,55,59,64
319,Retired and other inactive,XK,NA,NA,NA,NA,NA,58,48
