ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
Active labour force (employed and unemployed),AUT,53.0,60.0,66.0,74.0,74.0,83.0,82.0
Active labour force (employed and unemployed),BIH,,,,,,,73.0
Active labour force (employed and unemployed),BEL,49.0,52.0,67.0,77.0,80.0,84.0,86.0
Active labour force (employed and unemployed),BGR,15.0,22.0,31.0,44.0,53.0,67.0,68.0
Active labour force (employed and unemployed),CHE,,,67.0,,,76.0,
Active labour force (employed and unemployed),CYP,26.0,31.0,47.0,65.0,70.0,78.0,83.0
Active labour force (employed and unemployed),CZE,,32.0,43.0,51.0,,69.0,76.0
Active labour force (employed and unemployed),DEU,37.0,51.0,64.0,72.0,76.0,83.0,87.0
Active labour force (employed and unemployed),DNK,67.0,73.0,83.0,85.0,88.0,90.0,94.0
Active labour force (employed and unemployed),EA,39.0,48.0,59.0,64.0,67.0,73.0,77.0
Active labour force (employed and unemployed),EST,42.0,52.0,64.0,69.0,70.0,76.0,80.0
Active labour force (employed and unemployed),GRC,28.0,32.0,46.0,55.0,58.0,64.0,67.0
Active labour force (employed and unemployed),ESP,44.0,58.0,71.0,76.0,82.0,87.0,89.0
Active labour force (employed and unemployed),EU27,41.0,49.0,59.0,65.0,67.0,73.0,77.0
Active labour force (employed and unemployed),EU28,41.0,49.0,58.0,65.0,67.0,73.0,77.0
Active labour force (employed and unemployed),FIN,64.0,68.0,76.0,81.0,84.0,88.0,87.0
Active labour force (employed and unemployed),FRA,49.0,58.0,67.0,70.0,69.0,78.0,82.0
Active labour force (employed and unemployed),HRV,43.0,46.0,47.0,60.0,64.0,66.0,74.0
Active labour force (employed and unemployed),HUN,21.0,35.0,52.0,64.0,69.0,74.0,76.0
Active labour force (employed and unemployed),IRL,58.0,65.0,71.0,77.0,76.0,82.0,86.0
Active labour force (employed and unemployed),ISL,61.0,61.0,70.0,,,87.0,87.0
Active labour force (employed and unemployed),ITA,20.0,20.0,26.0,28.0,32.0,34.0,43.0
Active labour force (employed and unemployed),LTU,17.0,27.0,34.0,41.0,51.0,64.0,71.0
Active labour force (employed and unemployed),LUX,68.0,71.0,75.0,80.0,82.0,86.0,91.0
Active labour force (employed and unemployed),LVA,28.0,35.0,40.0,49.0,56.0,65.0,67.0
Active labour force (employed and unemployed),MNE,35.0,,,,,80.0,83.0
Active labour force (employed and unemployed),MKD,18.0,28.0,43.0,58.0,61.0,73.0,68.0
Active labour force (employed and unemployed),MLT,53.0,54.0,64.0,76.0,78.0,85.0,84.0
Active labour force (employed and unemployed),NLD,64.0,75.0,80.0,85.0,87.0,93.0,93.0
Active labour force (employed and unemployed),NOR,80.0,82.0,85.0,89.0,87.0,91.0,93.0
Active labour force (employed and unemployed),POL,26.0,37.0,42.0,51.0,34.0,44.0,56.0
Active labour force (employed and unemployed),PRT,23.0,25.0,42.0,52.0,58.0,66.0,69.0
Active labour force (employed and unemployed),ROU,9.0,17.0,29.0,44.0,53.0,62.0,68.0
Active labour force (employed and unemployed),SRB,,,,42.0,,62.0,71.0
Active labour force (employed and unemployed),SWE,75.0,79.0,82.0,85.0,86.0,94.0,92.0
Active labour force (employed and unemployed),SVN,35.0,47.0,51.0,64.0,64.0,75.0,80.0
Active labour force (employed and unemployed),SVK,42.0,46.0,57.0,65.0,65.0,73.0,71.0
Active labour force (employed and unemployed),TUR,18.0,29.0,43.0,55.0,68.0,76.0,77.0
Active labour force (employed and unemployed),GBR,70.0,73.0,80.0,87.0,89.0,91.0,91.0
