,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
360,students,AT,84,89,94,99,97,97,97
361,students,BA,NA,NA,NA,NA,NA,NA,92
362,students,BE,73,81,80,91,94,92,93
363,students,BG,30,56,72,84,91,95,95
364,students,CH,NA,NA,85,NA,NA,86,NA
365,students,CY,61,71,86,96,96,99,97
366,students,CZ,NA,68,79,87,NA,94,97
367,students,DE,56,80,87,91,94,95,98
368,students,DK,87,89,92,92,95,97,97
369,students,EA,65,79,84,89,90,92,93
370,students,EE,68,77,92,93,96,97,98
371,students,EL,58,67,78,85,88,92,91
372,students,ES,76,86,93,93,95,97,97
373,students,EU27,65,77,84,90,90,92,93
374,students,EU28,65,78,84,90,90,92,93
375,students,FI,80,82,93,93,96,97,95
376,students,FR,78,83,83,91,89,91,91
377,students,HR,87,82,83,96,89,96,98
378,students,HU,38,64,81,89,92,94,95
379,students,IE,78,89,94,95,91,95,99
380,students,IS,87,84,93,NA,NA,97,88
381,students,IT,40,64,72,78,81,83,82
382,students,LT,52,67,82,86,87,96,96
383,students,LU,83,82,86,87,91,94,97
384,students,LV,56,78,82,92,91,94,97
385,students,ME,66,NA,NA,NA,NA,10,97
386,students,MK,42,59,84,86,94,92,87
387,students,MT,88,92,94,10,96,97,97
388,students,NL,87,91,83,94,88,10,95
389,students,NO,89,96,92,91,87,99,97
390,students,PL,53,63,77,88,83,87,92
391,students,PT,69,78,84,91,94,96,96
392,students,RO,18,43,62,80,82,90,88
393,students,RS,NA,NA,NA,92,NA,89,94
394,students,SE,89,87,90,94,85,91,94
395,students,SI,78,85,91,96,95,97,97
396,students,SK,73,82,86,93,95,94,98
397,students,TR,39,51,69,74,86,91,88
398,students,UK,93,95,95,98,93,94,88
399,students,XK,NA,NA,NA,NA,NA,88,94
